Item,Transaction,Kuantitas
LEM DEXTON BOTOL,1,1
SPRINGBED BIGDREAM 180,2,1
KIPAS WELHOME BERDIRI 1681,3,1
SIRUP ABC DUS,1,1
TABLET LCD,1,1
ROYAL FOAM KAIN ZAKAT,1,1
TREMOS ELEPHANT,2,1
FRYPAN 3288,1,1
LEMARI GMCC TIREX 4SSN,1,1
SIRUP ABC DUS,1,1
BATU BAKAR,2,1
BONEKA BOBA LED XL,3,1
CANGKIR LEPEK JAGO,4,1
SIRUP ABC DUS,1,1
KERANJANG PAJERO WARNA,1,2
RACUN CICAK,2,1
BOTOL KACA KAKTUS,1,2
STIKER MOMO,2,1
CUTER TRANSPARAN,3,1
SIRUP ABC DUS,1,2
REGULATOR DESTEC PANDOM METER,1,1
TREMOS INDOGLASS 750ML,2,1
MAINAN TEFLON YK 27,3,1
BANTAL/GULING MAHKOTA MERAH,1,1
PANCI EAGLE 22 SARANGAN,1,1
KERANJANG PAJERO WARNA,1,7
BOTOL KACA KAKTUS,2,2
LEMARI LS2P KACA,3,1
MASKER DUCKBIL ANAK,1,1
KERANJANG PAJERO WARNA,1,3
TABLET LCD,1,1
CUTER TRANSPARAN,2,1
KERANJANG PAJERO WARNA,3,2
TOPRON,4,1
SIRUP ABC DUS,1,1
SPREI MY LOVE 180 30CM,2,1
SPRINGBED BIGDREAM 180,1,1
TOPLES 16L,1,1
FRYPAN 3288,2,1
TREMOS ELEPHANT,1,1
MAGICOM MIYAKO 638,2,1
JEMURAN LIPAT NAGATO,1,1
BUSA INOAC 140x30,1,1
KIPAS DINDING WELHOME 1663E,2,1
WAFER CINTA QITA,1,1
CUTER TRANSPARAN,1,1
TABLET LCD,2,1
REGULATOR DESTEC PANDOM METER,1,1
BONEKA BOBA LED XL,1,1
TABLET LCD,2,1
RACUN TIKUS,1,3
MANTEL POLKADOT DOLPHIN,2,1
SAJADAH PRADA TAS,3,1
TABLET LCD,1,2
TABLET LCD,1,3
MASKER DUCKBIL ANAK,2,1
DOUBLE PAN HAPPY CALL,1,1
TABLET LCD,2,1
SIRUP ABC DUS,1,1
CELENGAN SIZE S,2,1
TEKO SET JAGO,3,1
LEMARI 4SSN FAWSLINE WARNA WARNI,1,1
KOK,2,1
GELAS JUS PORTO,3,1
ROYAL FOAM KAIN ZAKAT,4,1
GELAS JUS PORTO,1,4
FRYPAN 3288,1,1
RACUN TIKUS,2,1
SPREI MY LOVE 180 30CM,1,8
SPREI ILLUSION 160,2,1
TEMPAT TISU KOTAK PANJANG,1,1
PANGGANGAN PORTABEL,1,1
BOTOL MINUM 750ML SL,1,2
BOTOL KACA KAKTUS,2,2
PAYUNG PELANGI JUMBO,3,1
KERANJANG PAJERO WARNA,4,3
BLENDER OMEGA NATIONAL,1,1
TEKO SET JAGO,1,1
BONEKA BOBA LED XL,1,1
TABLET LCD,1,2
PAYUNG LIPAT 3 DIMENSI,2,1
STIKER MOMO,3,1
TABLET LCD,1,1
SPREI MY LOVE 180 30CM,1,2
MAWAR LAUNDRY REFILL,2,2
BOTOL KACA KAKTUS,1,1
TABLET LCD,1,1
PAYUNG 16 JARI,1,1
JEMURAN LIPAT NAGATO,1,3
NAMPAN 4 SEDENG,1,1
DIPAN SULTAN,1,1
GELAS PLASTIK AYAM JAGO JUMBO,2,1
